timestamp,FIT_001_Flow,LIT_001_Level,LIT_002_Level,TT_001_Temp,TT_002_Temp
2026-05-29 05:00:00+00:00,-118.5185165405,116.1819992065,59.0711784363,30.3819446564,0.0
2026-05-29 05:00:30+00:00,-118.5185165405,116.312210083,59.0567131042,30.3819446564,0.0
2026-05-29 05:01:00+00:00,-118.5185165405,116.3628463744,59.08203125,30.3638591766,0.0
2026-05-29 05:01:30+00:00,-118.5185165405,116.5473098755,59.1037330627,30.3638591766,0.0
2026-05-29 05:02:00+00:00,-118.5185165405,116.2905044556,59.0313949585,30.3457756042,0.0
2026-05-29 05:02:30+00:00,-118.5185165405,116.2832717896,59.0711784363,30.3457756042,0.0
2026-05-29 05:03:00+00:00,-118.5185165405,116.2832717896,59.1254348755,30.3457756042,0.0
2026-05-29 05:03:30+00:00,-118.5185165405,116.3375244141,59.0530967712,30.3638591766,0.0
2026-05-29 05:04:00+00:00,-118.5185165405,116.427947998,59.089263916,30.3457756042,0.0
2026-05-29 05:04:30+00:00,-118.5185165405,116.3375244141,59.100112915,30.3457756042,0.0
2026-05-29 05:05:00+00:00,-118.5185165405,116.229019165,59.092880249,30.3457756042,0.0
2026-05-29 05:05:30+00:00,-118.5185165405,116.323059082,59.1579856873,30.3638591766,0.0
2026-05-29 05:06:00+00:00,-118.5185165405,116.3628463744,59.176071167,30.3457756042,0.0
2026-05-29 05:06:30+00:00,-118.5185165405,116.34475708,59.1579856873,30.3457756042,0.0
2026-05-29 05:07:00+00:00,-118.5185165405,116.301361084,59.1616020203,30.3276901245,0.0
2026-05-29 05:07:30+00:00,-118.5185165405,116.2905044556,59.1579856873,30.3457756042,0.0
2026-05-29 05:08:00+00:00,-118.5185165405,116.2832717896,59.1399002075,30.3638591766,0.0
2026-05-29 05:08:30+00:00,-118.5185165405,116.4460372924,59.1616020203,30.3313064575,0.0
2026-05-29 05:09:00+00:00,-118.5185165405,116.0409393311,59.1543693542,30.3132228851,0.0
2026-05-29 05:09:30+00:00,-118.5185165405,116.30859375,59.1724510193,30.3457756042,0.0
2026-05-29 05:10:00+00:00,-118.5185165405,116.3411407471,59.1399002075,30.3276901245,0.0
2026-05-29 05:10:30+00:00,-118.5185165405,116.2868881226,59.1399002075,30.3457756042,0.0
2026-05-29 05:11:00+00:00,-118.5185165405,116.330291748,59.1471328735,30.3457756042,0.0
2026-05-29 05:11:30+00:00,-118.5185165405,116.3483810424,59.1073493958,30.3457756042,0.0
2026-05-29 05:12:00+00:00,-118.5185165405,116.312210083,59.1579856873,30.3457756042,0.0
